timestamp,city,temperature,description
2025-12-13T14:12:42.777Z,Manchester,8.26,overcast clouds
2025-12-13T14:12:42.778Z,Manchester,8.26,overcast clouds
2025-12-13T16:16:26.912Z,Manchester,8.31,scattered clouds
2025-12-13T16:16:26.914Z,Manchester,8.31,scattered clouds
2025-12-13T18:18:26.093Z,Manchester,8.56,broken clouds
2025-12-13T18:18:26.094Z,Manchester,8.56,broken clouds
2025-12-13T20:14:44.919Z,Manchester,8.66,overcast clouds
2025-12-13T20:14:44.921Z,Manchester,8.66,overcast clouds
2025-12-13T22:12:48.412Z,Manchester,9.35,overcast clouds
2025-12-13T22:12:48.413Z,Manchester,9.35,overcast clouds
2025-12-14T01:13:34.593Z,Manchester,9.21,scattered clouds
2025-12-14T01:13:34.596Z,Manchester,9.21,scattered clouds
2025-12-14T03:23:52.599Z,Manchester,9.68,scattered clouds
2025-12-14T03:23:52.600Z,Manchester,9.68,scattered clouds
2025-12-14T04:31:42.674Z,Manchester,9.05,light rain
2025-12-14T04:31:42.675Z,Manchester,9.05,light rain
2025-12-14T06:21:11.004Z,Manchester,8.69,broken clouds
2025-12-14T06:21:11.007Z,Manchester,8.69,broken clouds
2025-12-14T08:18:20.599Z,Manchester,9.21,overcast clouds
2025-12-14T08:18:20.601Z,Manchester,9.21,overcast clouds
2025-12-14T10:14:02.427Z,Manchester,9.29,moderate rain
2025-12-14T10:14:02.429Z,Manchester,9.29,moderate rain
2025-12-14T12:26:25.999Z,Manchester,9.28,moderate rain
2025-12-14T12:26:26.001Z,Manchester,9.28,moderate rain
2025-12-14T14:13:10.154Z,Manchester,9.8,moderate rain
2025-12-14T14:13:10.156Z,Manchester,9.8,moderate rain
2025-12-14T16:15:58.072Z,Manchester,10,light rain
2025-12-14T16:15:58.074Z,Manchester,10,light rain
2025-12-14T18:19:36.198Z,Manchester,10.04,scattered clouds
2025-12-14T18:19:36.200Z,Manchester,10.04,scattered clouds
2025-12-14T20:15:05.603Z,Manchester,11.09,broken clouds
2025-12-14T20:15:05.788Z,Manchester,11.09,broken clouds
2025-12-14T22:13:33.341Z,Manchester,11.51,overcast clouds
2025-12-14T22:13:33.342Z,Manchester,11.36,overcast clouds
